Topic,Top Words
Topic 0,"money, voice, number, call, brother, poor, people, ago, without, human"
Topic 1,"price, product, food, whatsapp, market, oil, export, many, order, call"
Topic 2,"year, education, family, saving, witness, sport, mobile, beat, newspaper, centre"
Topic 3,"bank, account, hospital, local, v, letter, kingdom, project, management, pay"
Topic 4,"said, man, child, year, told, called, got, son, old, took"
Topic 5,"real, watch, video, property, picture, visit, investment, free, voting, like"
Topic 6,"okowa, order, intellectual, anybody, camp, delivery, place, shoe, quality, skin"
Topic 7,"n, billion, naira, million, click, per, fire, music, growth, register"
Topic 8,"buhari, state, nigeria, president, apc, nigerian, government, pdp, election, party"
Topic 9,"please, share, group, friend, good, need, help, nigeria, know, post"
Topic 10,"pray, problem, power, blood, love, human, spirit, health, spiritual, true"
Topic 11,"business, free, training, medium, join, opportunity, event, th, book, online"
Topic 12,"primary, visa, country, ticket, payment, job, day, month, get, card"
Topic 13,"ipob, jonathan, army, dr, prince, ds, david, john, sunday, peter"
Topic 14,"atiku, killing, christ, former, buharis, obasanjo, administration, bible, year, pm"
Topic 15,"school, student, university, graduate, program, study, certificate, september, section, birthday"
Topic 16,"killed, breaking, wife, second, elrufai, enough, efcc, pastor, seen, next"
Topic 17,"gb, th, black, allah, gen, st, rd, union, curse, lg"
Topic 18,"dollar, american, city, top, village, instagram, benin, lesson, zone, international"
Topic 19,"land, road, lagos, estate, price, plot, property, location, nm, project"
Topic 20,"hon, king, tv, fan, royal, stop, de, yusuf, clean, bed"
Topic 21,"god, name, jesus, prayer, father, shall, life, u, lord, may"
Topic 22,"call, whatsapp, new, service, super, dubai, office, moving, al, appear"
Topic 23,"nigeria, world, news, africa, south, african, church, country, mass, sowore"
Topic 24,"detail, full, photo, lady, wrote, ready, belt, islamic, week, registration"
Topic 25,"u, see, tell, woman, go, say, na, budget, men, let"
Topic 26,"work, month, daughter, bukola, lion, permanent, resident, congratulation, salvation, kemi"
Topic 27,"follow, like, nnamdi, cow, died, page, middle, spent, update, link"
Topic 28,"k, salary, needed, company, goodluck, rep, recruitment, point, hour, previous"
Topic 29,"people, one, time, like, know, dont, even, would, make, thing"
